Wavelength,n_0.8,n_0.9,n_1.0,n_1.1,n_1.2,n_1.3,n_1.4,n_1.5,n_1.6,n_1.7,n_1.8,n_1.9,n_2.0,n_2.1,n_2.2,n_2.3,n_2.4
2075,0.018898381751744516,0.01889838529695953,0.01889839992407771,0.018898450966928423,0.01889859619527,0.018898945703096196,0.01889968222173959,0.018901078052209724,0.018903505791736375,0.018907441540824757,0.0189134607056394,0.018922227527478675,0.01893448000472968,0.01895101200084903,0.01897265418577935,0.019000255164062885,0.019034663797317178
2076,0.018887990257384198,0.018887994152364664,0.018888010097653708,0.018888065307426833,0.018888221356760364,0.01888859480937094,0.01888937801602734,0.018890856157066094,0.01889341769337534,0.018897556985832398,0.018903869312977356,0.018913039537561117,0.018925826186915802,0.018943042811255407,0.018965538308592017,0.018994177586245675,0.01902982356527712
2077,0.01887760060525963,0.01887760494262218,0.018877622540824812,0.018877682931927414,0.01887785234110295,0.01887825517866022,0.01887909538485426,0.018880673565256308,0.018883397077981732,0.018887781927607594,0.018894446835817612,0.01890410088097157,0.018917526587888884,0.018935560412743857,0.018959072357552165,0.01898894610120073,0.019026060649498373
2078,0.018856827190458395,0.018856831806486212,0.01885685043857144,0.0188569140477765,0.01885709170510933,0.018857512592349284,0.01885838765758877,0.018860026786453772,0.01886284865336479,0.01886738216803686,0.018874259972873217,0.018884205468143435,0.018898015314725555,0.0189165394060143,0.018940660069182165,0.01897127189142385,0.019009263170216992
2079,0.01884644317616369,0.018846448248100837,0.01884646856012031,0.018846537364365732,0.018846728263802195,0.01884717799454026,0.018848108543033246,0.01884984434568629,0.01885282174692906,0.01885758973004763,0.018864802512138013,0.018875205611963247,0.018889617445605206,0.018908908511997953,0.018933979966244553,0.018965742987848446,0.01900509993598213
2080,0.018836061041484387,0.018836066579118377,0.018836088593831735,0.018836162623773134,0.018836366758296523,0.01883684516090957,0.01883783060573948,0.018839661672899254,0.01884279179800083,0.01884778929140937,0.0188553290520837,0.018866177711885687,0.018881174364795757,0.0189012090085075,0.018927200530030764,0.018960075651241446,0.019000749818092362
2081,0.01882568084809018,0.018825686704517147,0.01882570987772253,0.018825787442005158,0.01882600048273841,0.018826498096664607,0.018827520188849953,0.018829414648722675,0.018832646117130012,0.01883779552920195,0.018845551246464608,0.018856693597113148,0.018872075043006305,0.018892598142260023,0.018919193159755005,0.018952796746079453,0.018994332662229704
2082,0.01881530241462058,0.01881530890963973,0.018815334387406606,0.018815418935682292,0.018815649476388262,0.018816184658990064,0.018817278123874567,0.018819295606675585,0.018822723135985566,0.01882816564699558,0.018836336995669736,0.018848043350001453,0.018864162296779896,0.018885619908635787,0.01891336766016037,0.018948360619899598,0.018991537881553618
2083,0.018794551461935222,0.018794558558778967,0.018794586190739135,0.01879467721530497,0.018794923874071702,0.01879549346000362,0.01879665196166895,0.018798781065882276,0.018802385816557902,0.01880809238084024,0.018816637061396392,0.018828848670571028,0.018845626708616354,0.018867917654833706,0.018896691289619825,0.018932918477161012,0.01897755135775465
2084,0.018784178786026746,0.018784186254643367,0.018784215209378813,0.01878431018775762,0.01878456663862468,0.018785157038774904,0.01878635474810204,0.018788550935882026,0.018792261906839993,0.01879812635667312,0.018806893788068706,0.018819406284808833,0.018836576146392087,0.018859361728475806,0.01888874342304888,0.018925701208713643,0.018971194710770835
2085,0.018773807887814666,0.018773816020152583,0.018773847322392425,0.01877394927770208,0.018774222924861004,0.018774849729039398,0.01877611577336437,0.01877842852743735,0.01878232358091596,0.018788461010504225,0.018797612770388987,0.018810643442980633,0.0188284869533673,0.018852121652749063,0.018882545729731796,0.01892075437912555,0.018967719650760415
2086,0.018763438829327485,0.01876344776039695,0.018763481865840176,0.01876359209055286,0.01876388599134997,0.018764555443040547,0.018765901175482935,0.018768349321624852,0.018772457442348532,0.018778909860407245,0.018788503876247628,0.018802129359648524,0.018820744432332105,0.01884534971137038,0.01887696309728885,0.018916596532972067,0.01896523563442578
2087,0.0187530716680397,0.018753081379566956,0.01875311820314814,0.01875323638733538,0.01875354966114334,0.0187542596902538,0.01875568089845896,0.018758256774142768,0.01876256520865062,0.018769312855836256,0.018779320255970563,0.01879350036166482,0.01881283328124575,0.018838339765658206,0.018871055442818443,0.018912007219801026,0.018962192732375104
2088,0.018732343366964825,0.018732353645872744,0.01873239243379173,0.018732516336497217,0.018732843459691045,0.01873358237414281,0.01873505711494201,0.01873772329859439,0.01874217296632912,0.018749128255112633,0.01875942575881675,0.0187739943162812,0.01879382910973761,0.018819964636867244,0.01885344857259891,0.018895317935684514,0.018946578423640222
2089,0.018721981827544705,0.01872199302110334,0.018722034955667915,0.018722167964765255,0.018722517032574097,0.018723301523746867,0.018724860426376017,0.01872766814523572,0.018732338556219662,0.01873961760074296,0.018750366467263135,0.018765538247866035,0.01878615105553199,0.018813260219744436,0.018847931592728337,0.018891217371122572,0.018944135270777998
2090,0.01871162216838138,0.018711634315068403,0.018711679504925895,0.018711821869555837,0.018712193349972487,0.018713024157954547,0.018714668223308074,0.018717618628885244,0.018722510854772115,0.01873011429063523,0.018741314246871383,0.01875708750006923,0.01877847445610748,0.018806550598811998,0.018842399269381797,0.01888708716892564,0.01894164339462619
2091,0.01870126448557447,0.018701277342867903,0.018701324945224664,0.01870147420342129,0.01870186211796003,0.018702726747430738,0.01870443277943985,0.018707486687286327,0.018712539378038323,0.018720376922471676,0.01873190172888105,0.01874810730035659,0.018770049726586906,0.01879881861187751,0.018835509491995632,0.018881199121913276,0.018936924424659177
2092,0.018690908632191326,0.018690922387807864,0.018690973023369816,0.01869113090390444,0.01869153928385562,0.018692445874755773,0.0186942285420987,0.01869741009910683,0.018702660211238443,0.018710785164652185,0.018722708020609734,0.01873944242046867,0.018762063272422528,0.018791677060412966,0.018829393834852732,0.018876302253283003,0.01893344843553872
2093,0.0186702027508659,0.018670217870765414,0.01867027308034662,0.018670443875213973,0.018670882731867733,0.018671851506669238,0.01867374726746607,0.018677116517071747,0.018682655989441355,0.018691201011946535,0.018703704186844892,0.018721207834089808,0.018744813537853997,0.018775651588671692,0.01881485238725833,0.018863521155266145,0.018922716678796747
2094,0.018659852509933957,0.018659868744591978,0.018659927664558273,0.018660108863585902,0.01866057213072184,0.018661590467018322,0.018663575984417306,0.018667093650435475,0.01867286119746142,0.01868173638033334,0.01869469451455519,0.018712799872486394,0.018737174362643823,0.01876896632047539,0.01880932147875711,0.018859357443042818,0.018920142366609338
