Wavelength,EWT_0.001,EWT_0.011,EWT_0.021,EWT_0.031,EWT_0.041
2121,0.019794647162482665,0.019137087937090985,0.018780393201700493,0.018585032553719367,0.01847716267152602
2122,0.019778267698577292,0.019126477799490168,0.018771553500409013,0.018576438213443368,0.018468312258157402
2123,0.019751478123721748,0.0191049071182144,0.018751736761430892,0.018557004521875278,0.018448775902790652
2124,0.01973845961576058,0.019096303807860173,0.01874412238603299,0.01854917056722098,0.018440403052445608
2125,0.019718935659486132,0.019084136173163645,0.01873455004327684,0.018540259928060503,0.018431438407120155
2126,0.019709117986986973,0.01907688569232041,0.018727489579722256,0.01853264120824078,0.018423142122151515
2127,0.019695911060700382,0.01906698127556833,0.018718524649323175,0.018523719544475493,0.018413980362491845
2128,0.019666080712453436,0.019044081454808386,0.018698213691333256,0.01850417599463078,0.018394494456263635
2129,0.019649872219243327,0.01903348814128714,0.018689425662471375,0.018495680941449544,0.01838576634639056
2130,0.019636852870843914,0.019024462369819514,0.01868141441756767,0.018487573922217795,0.01837723390525903
2131,0.01962700362516126,0.019017011656282737,0.01867419174847829,0.018479864577836666,0.0183689036341493
2132,0.01960429801336446,0.019001759666175337,0.018662228246922576,0.018469270684493368,0.018358816467723874
2133,0.019584142784378564,0.018984017856525166,0.01864474219798482,0.018451317083521365,0.018340250831122826
2134,0.019561621706544984,0.01896921954994165,0.018633251388772042,0.018441126113608257,0.01833047767144533
2135,0.019539247390429008,0.01895466536623706,0.018622001433962726,0.018431137382556882,0.018320861567843582
2136,0.019529363332345555,0.01894697942430847,0.018614567661220542,0.018423288520169476,0.01831245538303252
2137,0.01951001954040794,0.018933124262948044,0.0186031484384812,0.01841288220039102,0.018302416171115853
2138,0.01948054803330225,0.01890965640299536,0.018582177436539685,0.01839282556598278,0.018282592163322196
2139,0.019458382265869018,0.018894730311046496,0.01857046517456884,0.0183824443676694,0.018272686055107585
2140,0.019442347596336538,0.018883101479423823,0.01856054055296717,0.018373039129324364,0.01826331615289859
2141,0.01942640744854975,0.018871902549876314,0.01855109002610698,0.018364046124966886,0.018254270468694996
2142,0.019410427125650616,0.018860281667927446,0.01854116998620482,0.018354651381498097,0.01824491606235794
2143,0.019384092399068006,0.018837765303159375,0.0185202895965057,0.018334398406644928,0.018224843175450336
2144,0.019365190848957412,0.018824427783433347,0.01850936385149068,0.018324416991391028,0.018215148665365357
2145,0.019352304923717728,0.018814762558593295,0.018500699343017644,0.01831583804647215,0.018206329413154525
2146,0.019342358852245608,0.018806618866293808,0.018492822830507995,0.018307666596157766,0.01819772020376218
2147,0.01932356970249831,0.018793499654762038,0.018482135260033266,0.018297902852220594,0.018188208039051884
2148,0.01930027828755213,0.018772532458750785,0.018462055902400226,0.01827807366184626,0.01816836741570933
2149,0.01928439938485545,0.0187605207617387,0.018451679546338962,0.01826829730986423,0.018158733493516474
2150,0.019277391992721746,0.01875410523285222,0.018444848697850433,0.01826077534700555,0.01815053742517272
2151,0.0192703619190075,0.01874749845124166,0.018437804079438864,0.01825306899469587,0.018142198526436785
2152,0.0192545176752895,0.018735690905451408,0.018427672365765046,0.01824352123647845,0.01813275691229815
2153,0.01923429100885497,0.018717115647951373,0.018409383416674276,0.01822499765680516,0.018113852494546723
2154,0.01921841142870445,0.018704889241269684,0.018398773397348626,0.018215031113306766,0.018104082173498365
2155,0.019214201996034592,0.018699404811196505,0.018392086853852418,0.018207362261505815,0.01809566496191093
2156,0.01921307135841909,0.01869635452229493,0.018387223652232297,0.01820101510129307,0.018088185330047385
2157,0.01919132068681436,0.018680816880974435,0.01837474902031382,0.018190003050926707,0.01807783326904189
2158,0.019171083091560705,0.018662065570030296,0.01835627535768717,0.018171334852791203,0.01805883103312543
2159,0.01916106462403777,0.018653337615402218,0.018347786281229458,0.018162673026246523,0.018049874638057684
2160,0.019151080545029116,0.018644829421696416,0.018339553844912464,0.018154244720894292,0.01804110976913834
2161,0.019138043391446206,0.018633705498803103,0.018329268200224996,0.018144281512700672,0.018031232072713836
2162,0.019133887301910457,0.018628517534358704,0.01832294048736437,0.018136952716994597,0.018023105670349406
2163,0.019113639555960703,0.0186095914104805,0.018304277232108902,0.018118130240613425,0.01800399385111083
2164,0.019112439115799004,0.018606018807098196,0.01829883479323631,0.018111287602146843,0.017996135044985838
2165,0.01910532998504399,0.01859868789420437,0.018290992997300488,0.018102908572300572,0.017987290024896015
2166,0.019101237690764442,0.01859339269749094,0.018284521800588628,0.018095450876733858,0.017979063700067667
2167,0.01910017209084896,0.01858994861897703,0.018279192792703403,0.018088703564958522,0.017971282452451044
2168,0.019091902562415275,0.01857774336789463,0.01826431553175041,0.01807202090024384,0.01795338421155824
2169,0.019084842493670696,0.01857027919835865,0.01825629947583289,0.01806348232608685,0.01794441156734978
2170,0.01908392361570327,0.018566765892798712,0.01825083646732283,0.018056599763518113,0.017936516635448457
2171,0.01908307231063921,0.01856330963374913,0.018245419867131674,0.018049754007054473,0.017928650394784505
2172,0.01906897359507004,0.018547820393815556,0.01822869936248658,0.01803204507457072,0.017910188919002732
2173,0.019071356360104583,0.018546370954333823,0.018224539869349902,0.018025993696260338,0.01790282888047824
2174,0.019066799530247203,0.018536749980013038,0.018211457299426855,0.018010556557592323,0.017885795968531955
2175,0.019066235773004276,0.018533323773308352,0.018205976367107947,0.01800362452065474,0.01787785071748844
2176,0.019068984522170113,0.0185321593322396,0.01820203513083405,0.017997738368614645,0.017870614852851355
2177,0.019075066150336186,0.018532839987697013,0.01819911188667011,0.017992410211779598,0.017863681733447115
2178,0.01907442417084752,0.01852549251955059,0.01818736185670892,0.01797776203954458,0.01784712170646602
2179,0.019081046126155275,0.018527231547406417,0.018185545736735087,0.01797340645135518,0.017840975915403633
2180,0.01909117143154156,0.018530704610578045,0.018184545387451463,0.01796939995457614,0.017834950271632292
2181,0.019098123456604457,0.01853201915300477,0.018182081681646468,0.017964403976332186,0.017828256993863444
2182,0.0191053563002065,0.0185340028265136,0.01818034271432859,0.017960054684400793,0.017822092134608673
2183,0.019116226119589973,0.01853778569299273,0.018179446904564484,0.01795606198458208,0.017816045217165975
2184,0.019127396061833616,0.018541779625923835,0.01817869959325793,0.01795217384218265,0.017810072022519996
2185,0.019138950749591335,0.01854653400311953,0.018178752580346007,0.017948992588028696,0.01780467398142141
2186,0.01914707689378564,0.018548702178781046,0.018176906928740518,0.017944442818060916,0.01779830236477692
2187,0.01915542115697722,0.01855102853808514,0.01817517563229734,0.017939975551073538,0.017791990226578198
2188,0.019168783766561937,0.018552383938220708,0.018168886462898888,0.017928785921367006,0.017777641238847817
2189,0.019173934607266182,0.018552780219408985,0.018165984244894042,0.017923606727582933,0.017770896030962754
2190,0.019186860779756412,0.018557493296776258,0.018165462239622742,0.01791972481901783,0.017764845330954893
2191,0.019204128738349962,0.01856545824958209,0.018167321626516554,0.017917560141959294,0.017760019377591803
2192,0.01921777452919194,0.01857065246604877,0.01816712338617345,0.017913897398181014,0.017754117929518524
2193,0.01923365099440693,0.018572855199021483,0.01816092348848762,0.017902491537853848,0.017739464108015003
2194,0.019243891857019368,0.018575101240349137,0.01815836144691791,0.01789701553884678,0.017732210652365958
2195,0.019250303928235644,0.018575536017986595,0.018155021701092292,0.01789127404715766,0.017724931134793644
2196,0.01926950923917626,0.018583922682194068,0.018156659176323628,0.01788866672190579,0.01771963573375491
2197,0.01928920291378328,0.018592618267647423,0.018158493989251838,0.017886186601461566,0.0177144230676463
2198,0.01929479849024632,0.01858843103542915,0.01814830015129854,0.017872273675673726,0.017698190975616854
2199,0.019297735683676244,0.018586423782293318,0.01814325763849219,0.017865352150504565,0.017690097897057187
2200,0.01931412113899285,0.01859307300297017,0.01814381966694807,0.017862077118714653,0.017684387451923453
2201,0.019330885389482022,0.01859996311352829,0.018144536443765773,0.01785890244506267,0.01767874271856256
2202,0.019347983117943453,0.018606750155180166,0.018144995386825694,0.017855444312103327,0.01767284236725186
2203,0.01935529205384411,0.018603627679515622,0.01813547255080813,0.01784196065197358,0.017656889749276303
2204,0.019368417261750568,0.018607620106369658,0.018133980508967487,0.017837148341223415,0.01765005378296859
2205,0.019381924205627014,0.018612495290930422,0.018133444354361608,0.01783319163768465,0.017643919922917556
2206,0.019400421941314548,0.018619808357086758,0.018134020697207497,0.01782967648407621,0.01763790249108812
2207,0.01940432559320457,0.018614563304856665,0.018123169385562264,0.017815359566934717,0.01762142739662842
2208,0.01942374272093875,0.01862345073288989,0.01812535804443174,0.017813254258188006,0.01761655237637571
2209,0.019423345083944877,0.018615888410329035,0.018113280092942795,0.01779830703012522,0.017599769586788605
2210,0.01943841238980155,0.01862210250212327,0.01811381550114765,0.017795174299774636,0.017594253756458903
2211,0.019458845224722663,0.018631307727340382,0.018116009749373406,0.017792952820760745,0.017589231032780785
2212,0.01947446464971703,0.018637174513324258,0.018115898045982615,0.017789143499070393,0.0175831175906614
2213,0.019480168345362092,0.018632701617198495,0.018105319745248052,0.017774871461826387,0.017566595249780614
2214,0.019480528103231635,0.018629098624133172,0.01809928921033161,0.017767340463119386,0.017558129794996637
2215,0.01949683198997857,0.018635013640434416,0.018098974658081017,0.017763258700829485,0.01755175383921626
2216,0.019497249679888713,0.018630706438270125,0.018092043305777863,0.01775487270915217,0.017542566288961003
2217,0.0195138740130557,0.018636052379311683,0.01809089689231634,0.017749970592917205,0.017535485207299487
2218,0.019493498126874,0.018615399211707236,0.018070210299862492,0.01772934770417359,0.017514954511407936
2219,0.01949415568095688,0.01861159518690427,0.01806381658794224,0.017721441589776996,0.01750616127979189
2220,0.019500407758555112,0.018611623815674626,0.018060043799220785,0.017715325439859347,0.017498589418587455
2221,0.019495688335058624,0.01860449006343011,0.01805157338931928,0.01770611648924363,0.017488974910050064
2222,0.019480104057670124,0.01859139435661388,0.018039859858007858,0.01769516972922596,0.01747845137220232
2223,0.019454144285068704,0.018566542338341305,0.018016096436513026,0.01767233224967624,0.017456347862303496
2224,0.019443877256049534,0.018555607765381805,0.018005029088184597,0.017661352940239607,0.017445528928440316
2225,0.019422753055798624,0.018538345875722576,0.01799026011429064,0.017648203386125896,0.0174334368120563
2226,0.01939074820472961,0.018513629949971057,0.017970396607445354,0.01763157815373279,0.017418976732613604
2227,0.01935895533904388,0.018489065262531218,0.017950640998093587,0.01761502993774187,0.01740457170490275
2228,0.01931201224648871,0.01845169359410738,0.017919366367699228,0.017587668204094006,0.017379736454421
2229,0.019265058687793855,0.018417826336189012,0.017893861981935225,0.0175675463213042,0.017363098952227887
2230,0.019208531409396188,0.018378092579647377,0.017864737107034442,0.017545176682994743,0.017345058878293792
2231,0.019158082777420923,0.018342819588947252,0.017838826478276188,0.017525093872591123,0.01732863099838005
2232,0.019093718326909582,0.018298646538481997,0.01780719008897481,0.017501309321667817,0.017309799969288497
2233,0.019020538413281447,0.018244566885828154,0.017765215114593457,0.017467063381082983,0.017280519665496763
2234,0.018958998583669687,0.01820250814858685,0.01773512607474155,0.017444393969173525,0.017262483689199335
2235,0.018880852078670275,0.018149921465796533,0.017698321182133173,0.017417417950423203,0.017241673662740375
2236,0.018805032658591975,0.01809849395851833,0.017662067668727056,0.017390682715665906,0.01722095068023068
2237,0.018731413770959198,0.018047894861020864,0.017626004032885195,0.017363865469662763,0.017200051505979502
2238,0.018653973333320605,0.01799144334788036,0.017582725641095375,0.01732891856846612,0.017170407786453245
