Wavelength	MAC_ARB_098_044_210422_L00001.asd
560	 9.02539003078909E-02 
561	 8.89116999379724E-02 
562	 8.75716421986286E-02 
563	 8.67172948173633E-02 
564	 0.085864015252669 
565	 8.54961593536632E-02 
566	 8.48628897265639E-02 
567	 8.36770570526392E-02 
568	 8.33352614277228E-02 
569	 8.21096087207026E-02 
570	 8.08692997819128E-02 
571	 8.11695271696164E-02 
572	 8.04536064099013E-02 
573	 7.91219993036771E-02 
574	 7.77587115344448E-02 
575	 7.67953213004294E-02 
576	 7.64458603363366E-02 
577	 7.61905875913497E-02 
578	 7.55380032191501E-02 
579	 7.49965885802125E-02 
580	 7.45013881262498E-02 
581	 7.42599408987183E-02 
582	 7.45422067075779E-02 
583	 7.34070415325707E-02 
584	 7.22197054452119E-02 
585	 7.18851052953542E-02 
586	 7.10400140727457E-02 
587	 7.10297616244045E-02 
588	 7.12793416960142E-02 
589	 7.07707441093809E-02 
590	 7.09793897270202E-02 
591	 7.10107596600497E-02 
592	 7.04801938601979E-02 
593	 6.98450017922959E-02 
594	 6.91395965387597E-02 
595	 6.89346143528445E-02 
596	 0.069426320359557 
597	 6.91643833198678E-02 
598	 6.89613671304753E-02 
599	 6.89114045390845E-02 
600	 6.86392996934733E-02 
601	 6.84844685690836E-02 
602	 6.87468604633449E-02 
603	 6.91789207681235E-02 
604	 6.84009588686845E-02 
605	 0.068166308629415 
606	 6.79758620214032E-02 
607	 6.69046309996308E-02 
608	 6.65134650020497E-02 
609	 6.69091917092594E-02 
610	 6.72329915384254E-02 
611	 6.57766408841495E-02 
612	 6.52934300167081E-02 
613	 6.51859885850507E-02 
614	 6.46837160310244E-02 
615	 6.50091289529112E-02 
616	 6.50735916571943E-02 
617	 6.46047161183181E-02 
618	 6.39310985749008E-02 
619	 0.06399122019386 
620	 6.41642694355667E-02 
621	 6.40266694111921E-02 
622	 6.38126436671839E-02 
623	 6.38296830687147E-02 
624	 6.40106995674925E-02 
625	 6.40889269400674E-02 
626	 0.063578603758554 
627	 6.30446979705397E-02 
628	 6.28621871035304E-02 
629	 6.31335678309618E-02 
630	 6.31253458460974E-02 
631	 6.30819805893918E-02 
632	 6.32007571537423E-02 
633	 0.062962167946104 
634	 6.33099254385245E-02 
635	 6.35026808686624E-02 
636	 6.23455623391659E-02 
637	 6.17360986503884E-02 
638	 6.18024636470847E-02 
639	 6.20504443827017E-02 
640	 6.13843698069474E-02 
641	 6.12733526668128E-02 
642	 6.13265802145788E-02 
643	 6.09634308717105E-02 
644	 6.09457806152059E-02 
645	 6.05507130413767E-02 
646	 6.00627956558695E-02 
647	 6.03777087554156E-02 
648	 6.02621579761728E-02 
649	 5.95332968747734E-02 
650	 5.87150255581969E-02 
651	 5.94703900794194E-02 
652	 6.01353293368096E-02 
653	 5.98991306741709E-02 
654	 5.87736937771638E-02 
655	 5.93438717571358E-02 
656	 5.93773384797159E-02 
657	 5.83539600110268E-02 
658	 5.77961852179147E-02 
659	 5.88664550703002E-02 
660	 5.95344074441361E-02 
661	 5.85035676865121E-02 
662	 5.83266606511504E-02 
663	 5.80788537521114E-02 
664	 5.79117013677089E-02 
665	 5.82645665431811E-02 
666	 5.77175437065057E-02 
667	 0.057832360158828 
668	 5.86939557811134E-02 
669	 5.80152578361423E-02 
670	 5.79343390368297E-02 
671	 5.77968072946812E-02 
672	 5.69242170565653E-02 
673	 5.71648657371735E-02 
674	 5.80184624782658E-02 
675	 5.88766385471759E-02 
676	 5.91867070936906E-02 
677	 5.97384683651312E-02 
678	 6.01182121608737E-02 
679	 6.00691537561554E-02 
